dBZ / RGBA,Black and White,Original,Universal Blue,Titan,The Weather Channel (TWC),Meteored,NEXRAD Level III,Rainbow @ Selex SI,Dark Sky
19,#333333ff,#65fa51ff,#1baee2ff,#5d18ccff,#25a635ff,#1153f6ff,#00cc31ff,#00c423ff,#005eb691
20,#343434ff,#58ff42ff,#00a3e0ff,#6e0dc6ff,#1f9e34ff,#0d3ff5ff,#00ff00ff,#00d319ff,#005eb699
21,#353535ff,#54f24cff,#009ad5ff,#800db9ff,#1c932eff,#092bf5ff,#00f000ff,#06db1aff,#075cb4a6
22,#363636ff,#51e657ff,#0091caff,#920dacff,#198829ff,#0416f4ff,#01e201ff,#0de31cff,#0e5bb3b4
23,#373737ff,#4dda62ff,#0088bfff,#a40e9fff,#167d23ff,#0000f3ff,#01d301ff,#13ec1eff,#155ab1c1
24,#383838ff,#4ace6dff,#007fb4ff,#b60e92ff,#13721eff,#74f560ff,#02c502ff,#1af420ff,#1c59b0cf
25,#393939ff,#47c278ff,#0077aaff,#c80f86ff,#116719ff,#6aec59ff,#03b703ff,#21fd22ff,#2458afdd
26,#3a3a3aff,#47b891ff,#0070a3ff,#c62086ff,#0f6016ff,#61e252ff,#04a903ff,#4dfd20ff,#3955abe3
27,#3b3b3bff,#47afabff,#00699cff,#c43186ff,#0d5a13ff,#58d94cff,#059b03ff,#79fd1fff,#4e52a7ea
28,#3c3c3cff,#47a5c5ff,#006295ff,#c34286ff,#0c5411ff,#4fd046ff,#068e04ff,#a6fd1dff,#6350a3f1
29,#3d3d3dff,#479cdfff,#005b8eff,#c15386ff,#0a4e0eff,#47c740ff,#078004ff,#d2fd1cff,#784d9ff8
30,#3e3e3eff,#4793f9ff,#005588ff,#c06487ff,#08480cff,#3fbd3aff,#087305ff,#fffd1bff,#8e4b9bff
31,#3f3f3fff,#3b87faff,#005180ff,#c36b77ff,#074209ff,#38b434ff,#398f04ff,#fff415ff,#a44c92ff
32,#404040ff,#2f7bfbff,#004e78ff,#c77268ff,#053c07ff,#30ab2fff,#6aab03ff,#ffec10ff,#ba4e89ff
33,#414141ff,#2370fcff,#004a70ff,#ca7959ff,#033604ff,#2aa12bff,#9cc702ff,#ffe40aff,#d04f81ff
34,#424242ff,#1764fdff,#004768ff,#ce804aff,#023002ff,#269828ff,#cde300ff,#ffdc05ff,#e65178ff
35,#434343ff,#0c59ffff,#ffee00ff,#d2883bff,#ffff00ff,#218f26ff,#ffff00ff,#ffd400ff,#fc5370ff
36,#444444ff,#1d57f2ff,#ffe000ff,#da9439ff,#ffe500ff,#1d8623ff,#fbf500ff,#ffcb00ff,#fc676fff
37,#454545ff,#2e56e6ff,#ffd200ff,#e2a037ff,#ffcb00ff,#1a7c20ff,#f7eb00ff,#ffc300ff,#fd7b6fff
38,#464646ff,#3f55d9ff,#ffc500ff,#eaac35ff,#ffb200ff,#16731eff,#f3e100ff,#ffbb00ff,#fd8f6eff
39,#474747ff,#5054cdff,#ffb700ff,#f2b833ff,#ff9800ff,#feff49ff,#efd700ff,#ffb300ff,#fea36eff
40,#484848ff,#6153c1ff,#ffaa00ff,#fac431ff,#ff7f00ff,#fef747ff,#ecce00ff,#ffab00ff,#ffb76eff
41,#494949ff,#805fbbff,#ff9f00ff,#facf27ff,#fa6500ff,#feef45ff,#efc200ff,#ff9e00ff,#ffc559ff
42,#4a4a4aff,#a06cb5ff,#ff9500ff,#fbda1eff,#f54c00ff,#fde643ff,#f3b600ff,#ff9200ff,#ffd344ff
43,#4b4b4bff,#bf79afff,#ff8b00ff,#fce514ff,#f03200ff,#fcdd41ff,#f6aa00ff,#ff8600ff,#ffe12fff
44,#4c4c4cff,#df86a9ff,#ff8100ff,#fdf00bff,#eb1900ff,#fcd43eff,#fa9e00ff,#ff7a00ff,#ffef19ff
45,#4d4d4dff,#ff93a3ff,#ff4400ff,#fefb02ff,#e60000ff,#fbcb3cff,#fe9300ff,#ff6e00ff,#fffd05ff
46,#4e4e4eff,#ff828dff,#f23600ff,#fee713ff,#e10000ff,#fbc13aff,#fe7500ff,#fc5b00ff,#fffd05ff
47,#4f4f4fff,#ff7177ff,#e62800ff,#fed424ff,#dc0000ff,#fab838ff,#fe5800ff,#f94800ff,#fffd05ff
48,#505050ff,#ff6061ff,#d91b00ff,#fec035ff,#d70000ff,#f9ae36ff,#fe3a00ff,#f63501ff,#fffd05ff
49,#515151ff,#ff4f4bff,#cd0d00ff,#fead46ff,#d20000ff,#f9a534ff,#fe1d00ff,#f32201ff,#fffd05ff
50,#525252ff,#ff3f35ff,#c10000ff,#fe9a58ff,#cd0000ff,#f89b32ff,#ff0000ff,#f01002ff,#fffd05ff
51,#535353ff,#f2332dff,#a80000ff,#fe8e47ff,#c30000ff,#f79130ff,#f10000ff,#e90d08ff,#fffd05ff
